ds,y
03/04/2025,54324
04/04/2025,50220
05/04/2025,55742
06/04/2025,60340
07/04/2025,51773
08/04/2025,48066
09/04/2025,45963
10/04/2025,42984
11/04/2025,41736
12/04/2025,49233
13/04/2025,59113
14/04/2025,50770
15/04/2025,49285
16/04/2025,47281
17/04/2025,43902
18/04/2025,51921
19/04/2025,49932
20/04/2025,51086
21/04/2025,62743
22/04/2025,50239
23/04/2025,48194
24/04/2025,44606
25/04/2025,44385
26/04/2025,49789
27/04/2025,54508
28/04/2025,50122
29/04/2025,48434
30/04/2025,47518
01/05/2025,47844
02/05/2025,44319
03/05/2025,49679
04/05/2025,57782
05/05/2025,60689
06/05/2025,46937
07/05/2025,44598
08/05/2025,44582
09/05/2025,51801
10/05/2025,60380
11/05/2025,61857
12/05/2025,54053
13/05/2025,50015
14/05/2025,49465
15/05/2025,49075
16/05/2025,45058
17/05/2025,44277
18/05/2025,45471
19/05/2025,39642
20/05/2025,38994
21/05/2025,38241
22/05/2025,35622
23/05/2025,35445
24/05/2025,42571
25/05/2025,44987
26/05/2025,48635
27/05/2025,43469
28/05/2025,45629
29/05/2025,42442
30/05/2025,40569
31/05/2025,52614
01/06/2025,52100
02/06/2025,42174
03/06/2025,40924
04/06/2025,37245
05/06/2025,35566
06/06/2025,45037
07/06/2025,66442
08/06/2025,72757
09/06/2025,66920
10/06/2025,59935
11/06/2025,46354
12/06/2025,40237
13/06/2025,37233
14/06/2025,42131
15/06/2025,45282
